model,vol_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_auc_12,high_vol,1366,557,0.40775988286969256,0.41430514169919397,0.533213644524237
cgcma_auc_12,low_vol,1374,334,0.2430858806404658,-2.073900317432355,0.4311377245508982
cgcma_auc_12,mid_vol,746,357,0.4785522788203753,-0.9769183495076178,0.49299719887955185
cgcma_val_sharpe_12,high_vol,1366,424,0.3103953147877013,-2.6579417387727893,0.4669811320754717
cgcma_val_sharpe_12,low_vol,1374,323,0.23508005822416303,-1.067672610897285,0.43034055727554177
cgcma_val_sharpe_12,mid_vol,746,187,0.25067024128686327,-2.458077409712529,0.44919786096256686
learned_gate_val_sharpe_12,high_vol,1366,365,0.26720351390922403,-1.1618193647839636,0.4904109589041096
learned_gate_val_sharpe_12,low_vol,1374,232,0.16885007278020378,0.7964389403274924,0.5
learned_gate_val_sharpe_12,mid_vol,746,178,0.2386058981233244,-2.127970534581394,0.4438202247191011
price_only_anchor_12,high_vol,1366,518,0.37920937042459735,0.3699980541331443,0.5444015444015444
price_only_anchor_12,low_vol,1374,453,0.3296943231441048,-3.573787649817824,0.41501103752759383
price_only_anchor_12,mid_vol,746,118,0.1581769436997319,-0.47576154259750936,0.4661016949152542
timesnet_cgcma_val_sharpe_12,high_vol,1366,545,0.3989751098096633,-0.876837492466999,0.5119266055045871
timesnet_cgcma_val_sharpe_12,low_vol,1374,144,0.10480349344978165,-0.7440348672536226,0.4444444444444444
timesnet_cgcma_val_sharpe_12,mid_vol,746,100,0.13404825737265416,-0.2860681404016443,0.45
timesnet_lite_auc_12,high_vol,1366,355,0.25988286969253294,0.6880218828425411,0.5154929577464789
timesnet_lite_auc_12,low_vol,1374,420,0.3056768558951965,-1.282735205910099,0.45476190476190476
timesnet_lite_auc_12,mid_vol,746,158,0.21179624664879357,1.046891495218391,0.5189873417721519
timesnet_moe_val_sharpe_12,high_vol,1366,600,0.43923865300146414,-2.027064940152207,0.4816666666666667
timesnet_moe_val_sharpe_12,low_vol,1374,265,0.19286754002911208,-2.3930200190630115,0.44150943396226416
timesnet_moe_val_sharpe_12,mid_vol,746,380,0.5093833780160858,-3.730911976887301,0.45789473684210524
