model,return_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_auc_12,sideways,758,250,0.32981530343007914,-3.924960636575675,0.4
cgcma_auc_12,up,2728,998,0.3658357771260997,0.2643031537287643,0.5180360721442886
cgcma_val_sharpe_12,sideways,758,4,0.005277044854881266,-1.052676113578333,0.25
cgcma_val_sharpe_12,up,2728,930,0.3409090909090909,-3.558051968870026,0.45161290322580644
learned_gate_val_sharpe_12,sideways,758,15,0.01978891820580475,-2.409090119079121,0.26666666666666666
learned_gate_val_sharpe_12,up,2728,760,0.2785923753665689,-1.4543185323656898,0.4868421052631579
price_only_anchor_12,sideways,758,394,0.5197889182058048,-4.880313380405701,0.39847715736040606
price_only_anchor_12,up,2728,695,0.25476539589442815,0.5814213456188079,0.5294964028776978
timesnet_cgcma_val_sharpe_12,sideways,758,11,0.014511873350923483,-2.107888348291578,0.2727272727272727
timesnet_cgcma_val_sharpe_12,up,2728,778,0.28519061583577715,-0.8834239981825479,0.4948586118251928
timesnet_lite_auc_12,sideways,758,158,0.20844327176781002,-0.39942315215676427,0.47468354430379744
timesnet_lite_auc_12,up,2728,775,0.2840909090909091,0.45743549106009745,0.4916129032258065
timesnet_moe_val_sharpe_12,sideways,758,7,0.009234828496042216,-1.3390675142034847,0.42857142857142855
timesnet_moe_val_sharpe_12,up,2728,1238,0.4538123167155425,-4.078938234975431,0.46607431340872374
