model,kind,feature_group,n_features,n_folds,accuracy,accuracy_std,macro_f1,macro_f1_std,auc,auc_std,brier,ece,trade_rate,trade_rate_std,test_trade_windows,hit_rate,downstream_sharpe,downstream_sharpe_std,downstream_mdd,downstream_total_return,long_threshold,short_threshold,cost_bps,gamma,fusion_alpha
price_only_anchor,price_sequence_transformer,price_text_web,403,5,0.5167876817925889,0.020347997485785637,0.49054488210552705,0.018848901140456138,0.5743365759763674,0.04685907469620766,0.2528535150160611,0.0759901035103335,0.34640593223949806,0.16441270523629065,348.6,0.4929128805380153,-0.27576701043199153,1.6199310636841724,0.09144521593344271,-0.016792255601432375,0.532,0.40999999999999986,5.0,0.0,0.0
timesnet_lite_anchor,timesnet_lite_price,price_text_web,403,5,0.536040864073372,0.06186287379055989,0.47290639569577586,0.11839247425139887,0.6083060892328996,0.025074666588463846,0.26325510380367767,0.1267661561585901,0.3789860855670311,0.2737064712465169,348.6,0.5649891322231747,0.6137079642670236,1.3856695618957384,0.07268716712782,0.032454791431417725,0.6100000000000001,0.39199999999999985,5.0,0.0,0.0
cgcma_anchor,conditionally_gated_cross_modal,price_text_web,403,5,0.5274382729097071,0.06000086818594037,0.4740760814277679,0.10533012621937489,0.5654637288597905,0.04257393555284643,0.2516931069097039,0.08085493157552878,0.4083600688151077,0.3198320218766206,348.6,0.4725312330929764,-1.367340797854601,1.7552465327576887,0.12202204247335183,-0.08238812956573102,0.5980000000000001,0.4159999999999998,5.0,0.0,0.0
cgcma_dual_mean,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.4932220105533389,0.04566712792100474,0.4105856100690337,0.061160448125801355,0.5382571940952032,0.05317186013007637,0.2743424426376062,0.137854645283828,0.36993383397605034,0.455390626102796,348.6,0.16932554008366282,-1.4184151278152264,1.8402024038333211,0.12768111291718806,-0.1403562518021605,0.05,-0.05,5.0,0.0,0.0
cgcma_dual_mean_tight,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.541240972836148,0.04343580617648999,0.48264152824537376,0.08215478775958698,0.5472178191228271,0.04198602554457913,0.26069882468984973,0.11476817798907243,0.5707083200246386,0.4664869991687987,348.6,0.2818119658119658,-1.716347533359312,1.4859692281478984,0.14424741138773095,-0.14431316849404935,0.1,-0.1,5.0,0.0,0.0
cgcma_dual_mean_raw,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.4983709520051324,0.05401302822284694,0.4101709299843768,0.09685665283094433,0.569323504986788,0.06820553409235613,0.2599666354790903,0.09614368895233895,1.0,0.0,348.6,0.44037799873778294,-1.4688149307961196,3.7935523740593298,0.11391602367472271,-0.012727597777578762,0.0,0.0,5.0,0.0,0.0
cgcma_dual_target_only,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.4999369043979939,0.049926280051416166,0.42975452872570197,0.09207260740100313,0.5465027320474362,0.0566835934972521,0.2601069992353939,0.11015445716728027,0.63051715795101,0.22929740309100022,348.6,0.4878037478854062,-0.819535731623569,2.029913514896599,0.05337087851602792,-0.043860462693986385,0.05,-0.05,5.0,0.0,0.0
cgcma_dual_target_mean,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.5075702677392762,0.028509089177966688,0.44103869360938,0.06344345774082737,0.5525965802992335,0.04927111110247153,0.25632304095265784,0.08539512334813328,0.6501882275084185,0.23169094248678368,348.6,0.46796652545688006,-1.6742094905519067,2.133701235546654,0.04973968738409823,-0.042663934444168064,0.05,-0.05,5.0,0.0,0.0
cgcma_dual_sharpe,conditionally_gated_cross_modal_dual_head,price_text_web,403,5,0.5357188076799708,0.046429710214666776,0.459903211121226,0.08928078746014124,0.545029824052893,0.033177057616561936,0.25745590996149553,0.10479045803200367,0.35695263575474656,0.35046009329979666,348.6,0.2618578571109708,-0.36824404123025045,1.1601627217064518,0.013767492278366048,-0.0014778575223148302,0.05,-0.05,5.0,0.0,0.0
timesnet_cgcma_dual_mean,timesnet_gated_cross_modal_dual_head,price_text_web,403,5,0.5481997665848837,0.04423925866801429,0.4824676021888516,0.07028090620209483,0.5788205515896103,0.0380944257218423,0.25829434901951653,0.11727897397497786,0.09107692307692308,0.18215384615384614,348.6,0.08648648648648649,-0.44869640553515744,0.8973928110703148,0.03800817674355552,-0.033796773546911026,0.05,-0.05,5.0,0.0,0.0
timesnet_cgcma_dual_mean_raw,timesnet_gated_cross_modal_dual_head,price_text_web,403,5,0.5306813426704446,0.04266756676379218,0.4927423108557811,0.05861993694597948,0.5643927759252287,0.03698353029775892,0.2570007070855016,0.10168502013251621,1.0,0.0,348.6,0.4591667035207889,-2.1437085762303014,1.102303079803849,0.1438577592862776,-0.13248762357006427,0.0,0.0,5.0,0.0,0.0
