model,baseline,mean_delta_sharpe,wins,losses,ties,n_folds,fold_deltas
timesnet_cgcma_dual_target_mean,cgcma_anchor,1.0487814015278873,3,2,0,5,3.631423;-1.675383;-1.934099;1.309762;3.912203
cgcma_dual_sharpe,cgcma_anchor,0.9990967566243507,4,1,0,5,0.106461;0.305993;-0.425119;4.687198;0.320951
timesnet_cgcma_dual_mean,cgcma_anchor,0.9186443923194437,4,1,0,5,2.751516;0.305993;-2.860138;4.074900;0.320951
cgcma_dual_target_only,cgcma_anchor,0.5478050662310321,2,3,0,5,-0.521048;-1.617405;-2.467495;4.606715;2.738258
timesnet_cgcma_dual_sharpe,cgcma_anchor,0.520215907384293,3,2,0,5,2.751516;0.305993;-3.182752;3.677303;-0.950980
cgcma_dual_mean,cgcma_anchor,-0.051074329960625275,3,2,0,5,-1.754330;0.305993;-3.202885;4.074900;0.320951
cgcma_dual_mean_raw,cgcma_anchor,-0.10147413294151848,2,3,0,5,-3.432316;3.591394;-1.690008;-1.276651;2.300209
cgcma_dual_target_mean,cgcma_anchor,-0.30686869269730555,2,3,0,5,-1.987230;-2.213055;-3.150363;4.261457;1.554847
cgcma_dual_mean_tight,cgcma_anchor,-0.34900673550471056,2,3,0,5,-0.987517;-1.937166;-3.216202;4.074900;0.320951
timesnet_cgcma_dual_mean_raw,cgcma_anchor,-0.7763677783757001,2,3,0,5,1.151338;-0.655180;-4.446318;1.034124;-0.965803
timesnet_cgcma_dual_target_only,cgcma_anchor,-0.9745234220926502,1,4,0,5,0.783864;-1.103851;-3.697718;-0.083003;-0.771909
timesnet_cgcma_dual_target_mean,price_only_anchor,-0.0427923858947223,2,3,0,5,3.882825;-1.149234;-1.081348;-4.347001;2.480795
cgcma_dual_sharpe,price_only_anchor,-0.09247703079825892,3,2,0,5,0.357863;0.832142;0.427632;-0.969565;-1.110457
timesnet_cgcma_dual_mean,price_only_anchor,-0.17292939510316593,2,3,0,5,3.002918;0.832142;-2.007386;-1.581863;-1.110457
cgcma_dual_target_only,price_only_anchor,-0.5437687211915776,1,4,0,5,-0.269646;-1.091256;-1.614744;-1.050048;1.306850
timesnet_cgcma_dual_sharpe,price_only_anchor,-0.5713578800383168,2,3,0,5,3.002918;0.832142;-2.330001;-1.979460;-2.382387
cgcma_dual_mean,price_only_anchor,-1.142648117383235,1,4,0,5,-1.502928;0.832142;-2.350134;-1.581863;-1.110457
cgcma_dual_mean_raw,price_only_anchor,-1.193047920364128,2,3,0,5,-3.180914;4.117543;-0.837257;-6.933414;0.868801
cgcma_dual_target_mean,price_only_anchor,-1.3984424801199153,1,4,0,5,-1.735828;-1.686907;-2.297612;-1.395306;0.123440
cgcma_dual_mean_tight,price_only_anchor,-1.4405805229273203,0,5,0,5,-0.736115;-1.411017;-2.363451;-1.581863;-1.110457
timesnet_cgcma_dual_mean_raw,price_only_anchor,-1.8679415657983096,1,4,0,5,1.402740;-0.129031;-3.593567;-4.622639;-2.397211
timesnet_cgcma_dual_target_only,price_only_anchor,-2.06609720951526,1,4,0,5,1.035266;-0.577703;-2.844967;-5.739766;-2.203316
timesnet_cgcma_dual_target_mean,timesnet_lite_anchor,-0.9322673605937373,1,4,0,5,-0.067619;-2.654461;-2.582299;-0.793167;1.436210
cgcma_dual_sharpe,timesnet_lite_anchor,-0.981952005497274,1,4,0,5,-3.592581;-0.673086;-1.073319;2.584268;-2.155042
timesnet_cgcma_dual_mean,timesnet_lite_anchor,-1.062404369802181,1,4,0,5,-0.947527;-0.673086;-3.508338;1.971971;-2.155042
cgcma_dual_target_only,timesnet_lite_anchor,-1.4332436958905928,2,3,0,5,-4.220091;-2.596483;-3.115696;2.503786;0.262265
timesnet_cgcma_dual_sharpe,timesnet_lite_anchor,-1.460832854737332,1,4,0,5,-0.947527;-0.673086;-3.830953;1.574373;-3.426972
cgcma_dual_mean,timesnet_lite_anchor,-2.03212309208225,1,4,0,5,-5.453373;-0.673086;-3.851086;1.971971;-2.155042
cgcma_dual_mean_raw,timesnet_lite_anchor,-2.0825228950631436,1,4,0,5,-7.131358;2.612316;-2.338208;-3.379580;-0.175784
cgcma_dual_target_mean,timesnet_lite_anchor,-2.2879174548189303,1,4,0,5,-5.686273;-3.192134;-3.798563;2.158528;-0.921145
cgcma_dual_mean_tight,timesnet_lite_anchor,-2.3300554976263355,1,4,0,5,-4.686560;-2.916244;-3.864402;1.971971;-2.155042
timesnet_cgcma_dual_mean_raw,timesnet_lite_anchor,-2.7574165404973248,0,5,0,5,-2.547705;-1.634258;-5.094519;-1.068805;-3.441796
timesnet_cgcma_dual_target_only,timesnet_lite_anchor,-2.955572184214275,0,5,0,5,-2.915179;-2.082930;-4.345918;-2.185933;-3.247901
