model,active_rate,abs_position_mean,abs_position_p50,abs_position_p90,long_rate,short_rate,total_net_pnl_all_test_windows
cgcma_dual_sharpe,0.35800344234079173,0.05925946911567416,0.0185130480676889,0.1352890133857726,0.21227768215720022,0.1457257601835915,-0.007389287611572029
cgcma_dual_mean_raw,1.0,0.4452988080327795,0.3573793768882751,0.9966727018356324,0.44520940906483075,0.5547905909351692,-0.0636379888878849
timesnet_cgcma_dual_sharpe,0.2472748135398738,0.05213937477008915,0.0122125437483191,0.14149904747804,0.01663798049340218,0.2306368330464716,-0.14121535613573782
timesnet_cgcma_dual_mean,0.08491107286288009,0.07304817691738062,0.001760101217466,0.025941295176744393,0.0011474469305794606,0.08376362593230063,-0.16898386773455384
timesnet_cgcma_dual_target_mean,0.8445209409064831,0.23708012346018126,0.1433028876781463,0.6643756330013275,0.45324153757888697,0.3912794033275961,-0.17588466860375118
cgcma_dual_target_mean,0.6557659208261618,0.13306369808559085,0.0790108069777488,0.3281291892131169,0.26448651749856567,0.3912794033275961,-0.21331967222083437
cgcma_dual_target_only,0.6345381526104418,0.1715734194392686,0.0831218212842941,0.47418487071990967,0.30694205393000573,0.32759609868043604,-0.21930231346992793
timesnet_cgcma_dual_target_only,0.7986230636833046,0.2942556682196848,0.240310937166214,0.6563619554042815,0.35857716580608145,0.4400458978772232,-0.3267448187140618
timesnet_cgcma_dual_mean_raw,1.0,0.5600279316970398,0.7005647420883179,0.9991999122831556,0.3763625932300631,0.6236374067699368,-0.6624381178503149
cgcma_dual_mean,0.3757888697647734,0.3362491198438915,0.0010709246271289,0.9997895419597626,0.2099827882960413,0.16580608146873207,-0.7017812590107967
cgcma_dual_mean_tight,0.5886402753872634,0.4442847787064674,0.3277689293026924,0.9993061502774556,0.3080895008605852,0.28055077452667815,-0.7215658424702438
