model,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auc_mean,auc_std,auc_count,brier_mean,brier_std,brier_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_mdd_count,downstream_total_return_mean,downstream_total_return_std,downstream_total_return_count,cost_bps_mean,cost_bps_std,cost_bps_count,long_threshold_mean,long_threshold_std,long_threshold_count,short_threshold_mean,short_threshold_std,short_threshold_count
bilstm_fusion,0.5477123482113148,0.012928170789731932,2,0.5165143968669943,0.006171232433354105,2,0.5682784677690842,0.005902947450233081,2,0.2519651444511344,0.002791601130075616,2,0.30062429997948126,0.1006331574049887,2,0.43605843722896653,0.05584683877169065,2,-1.0205741708655838,0.34566172612090423,2,0.1136397596955349,0.004080547549851851,2,-0.0685879952895069,0.029311061095011755,2,5.0,0.0,2,0.5830000000000001,0.012727922061357866,2,0.4069999999999998,0.038183766184073466,2
cgcma,0.5425112924151927,0.0023591783197019506,2,0.4640614392266259,0.002345492113543914,2,0.5635407733803515,0.02337267522325827,2,0.2548182711764764,0.006694173208846753,2,0.18439610640563825,0.019118315149224206,2,0.5419960408260743,0.05126268638986707,2,1.0465452217689546,0.7927345861788266,2,0.04116022472902135,0.012564959084040074,2,0.0521400900881006,0.030801464399776365,2,5.0,0.0,2,0.5800000000000001,0.008485281374238578,2,0.40099999999999986,0.012727922061357788,2
dlinear,0.5175934212559866,0.008496938260783283,2,0.5139327189504862,0.006384150437784577,2,0.5223642739934419,0.0018113053230808622,2,0.2521459542526431,0.0012643860104950403,2,0.25843428070840446,0.11252931576511158,2,0.4925137763144687,0.07522231241052448,2,-0.5308909546234613,1.1405511883112243,2,0.0781791491189913,0.043679651450628035,2,-0.03797341822559195,0.05340603757920218,2,5.0,0.0,2,0.6160000000000001,0.008485281374238578,2,0.4159999999999998,0.05091168824543133,2
early_fusion,0.5311811738085885,0.010007818373588502,2,0.5046298914809352,0.004834314512105319,2,0.5550351743459079,0.01108782649931947,2,0.2614604829985147,0.002067363271656314,2,0.27715700430972,0.062026655698617206,2,0.4535765699286378,0.011771976874757877,2,-0.113805901877749,0.2890535549205901,2,0.0809224940012115,0.01731422723467528,2,-0.0233755021738645,0.001173002542509742,2,5.0,0.0,2,0.6010000000000001,0.004242640687119289,2,0.4249999999999998,0.00424264068711923,2
itransformer_lite,0.49501500135872856,0.006729475379382874,2,0.47682736230324363,0.009119156911301163,2,0.4915552680600699,0.007851499340007987,2,0.30768045112918135,0.0339044363095734,2,0.6207473842841775,0.007065187017619053,2,0.42735697950606477,0.005763489045159428,2,-1.405544610380863,0.31954230287609725,2,0.1518777453315538,0.020170965394465307,2,-0.10495684893400095,0.034478006880939625,2,5.0,0.0,2,0.6490000000000001,0.021213203435596444,2,0.3979999999999999,0.02545584412271573,2
multimodal_transformer,0.5234575049539392,0.0025776790844899236,2,0.47542011329357736,0.012221816729451808,2,0.5479037059481864,0.013052678370635028,2,0.26913734060601524,0.0010424535851896101,2,0.2904799899953548,0.00033345545210630506,2,0.4001335439931347,0.03376076287412065,2,-0.4481316281797904,1.056068641415526,2,0.08652104484930395,0.041587652054531465,2,-0.03887920598522569,0.07215073167619185,2,5.0,0.0,2,0.613,0.03818376618407356,2,0.4279999999999998,0.008485281374238499,2
patchtst,0.5256022313216503,0.0008000456329072718,2,0.4931288181737956,0.007514821737177851,2,0.534855741012855,0.013195663166720353,2,0.25966110375995743,0.0035461919434274466,2,0.3041189842612908,0.04436010553517734,2,0.4889143144292895,0.008061523864758178,2,-0.7809375605073595,0.2028448820283686,2,0.11024155708410224,0.00503739452746153,2,-0.07844514185443605,0.007645794392575401,2,5.0,0.0,2,0.6520000000000001,0.008485281374238578,2,0.4249999999999998,0.03818376618407354,2
price_only,0.5281820110925706,0.01611401503017904,2,0.47919261311225864,0.01605453277398767,2,0.5754647860861178,0.001595530038415445,2,0.2524067908797552,0.0006317633322032398,2,0.30545464610291617,0.05791386425097527,2,0.5401924175533721,0.06686336246983825,2,-0.3403506757250764,0.09133509536524521,2,0.09591918943884714,0.006327154009040881,2,-0.0224360258115827,0.007981496374111947,2,5.0,0.0,2,0.55,0.02545584412271573,2,0.41099999999999987,0.0014142135623731748,2
price_web,0.5500234444559513,0.005793872139610346,2,0.5054879570129617,0.003114640505891221,2,0.560665244067472,0.000445797088093967,2,0.2555796816757401,0.001503453044889098,2,0.24742758436973689,0.037112185824598964,2,0.4316172579595966,0.056046537317289744,2,-0.18666578369412717,0.07582390939513184,2,0.06832560570430445,0.011297960915118761,2,-0.01418132934192385,0.024453481275650946,2,5.0,0.0,2,0.5800000000000001,0.0,2,0.3979999999999999,0.03394112549695425,2
tensor_fusion,0.5245411884695579,0.001640019235616899,2,0.5151378189668423,0.005204529981429055,2,0.5391113683477526,0.012489821348866652,2,0.2657081639336221,0.003940914520959782,2,0.3365650150228381,0.04094148441958095,2,0.4611256035883625,0.06505984270733099,2,-0.8418363515039446,0.6091017178962207,2,0.102441021172615,0.007205487726597876,2,-0.05388465774378585,0.020529001466591666,2,5.0,0.0,2,0.5830000000000001,0.012727922061357866,2,0.40399999999999986,0.03394112549695423,2
text_web_mlp,0.5073408763184377,0.005003915537719173,2,0.5009791117333036,0.011214769152152155,2,0.5114619993128561,0.004341206743868683,2,0.25863645042706734,0.007775305188045263,2,0.17948778144438648,0.07937344965069917,2,0.4945196873748698,0.011830232585142464,2,-0.28431150528932825,0.7281471684751943,2,0.07080030076575744,0.03865437299872092,2,-0.03377721763763475,0.04299131689333046,2,5.0,0.0,2,0.5950000000000001,0.004242640687119289,2,0.40699999999999986,0.029698484809834943,2
timesnet_lite,0.5663746926275446,0.049262312526481646,2,0.52208979693448,0.07625303384579406,2,0.5989304783112245,0.04378741670937409,2,0.25053349103513195,0.0031031235362294863,2,0.3967512366829097,0.15245396780600196,2,0.4550189141101024,0.023581223167885378,2,-0.13062958958168935,1.4867262423785115,2,0.0887966459926714,0.06966251912962806,2,0.0238265061115365,0.14160968466493035,2,5.0,0.0,2,0.5950000000000001,0.004242640687119289,2,0.38599999999999984,0.06788225099390846,2
