comparison,mean_delta,boot_ci_low,boot_ci_high,wins,losses,ties,n_runs,n_matched_units,wilcoxon_p_greater,sign_test_p_greater
cgcma - bilstm_fusion,2.067119392634538,0.7998798911787132,3.3870104982838654,8,2,0,2,10,0.0185546875,0.0546875
cgcma - dlinear,1.577436176392416,0.24008780909200622,2.979369637707058,9,1,0,2,10,0.0244140625,0.0107421875
cgcma - early_fusion,1.1603511236467037,-0.307748774012963,2.5729485766656657,7,3,0,2,10,0.0966796875,0.171875
cgcma - itransformer_lite,2.4520898321498175,1.1986472552058802,3.8043868715528917,9,1,0,2,10,0.0048828125,0.0107421875
cgcma - multimodal_transformer,1.4946768499487453,0.1402924089918955,2.83794074589203,8,2,0,2,10,0.0654296875,0.0546875
cgcma - patchtst,1.827482782276314,0.0704550291711114,3.279593248572355,9,1,0,2,10,0.0322265625,0.0107421875
cgcma - price_only,1.386895897494031,0.7253669090335738,2.106560170781306,10,0,0,2,10,0.0009765625,0.0009765625
cgcma - price_web,1.233211005463082,-0.19625049916595957,2.784756527883864,6,3,1,2,10,0.150390625,0.25390625
cgcma - tensor_fusion,1.8883815732728995,0.3729656699202126,3.504387460657893,7,3,0,2,10,0.0419921875,0.171875
cgcma - text_web_mlp,1.330856727058283,-0.1158351108687435,2.8414825384612366,7,3,0,2,10,0.0654296875,0.171875
cgcma - timesnet_lite,1.177174811350644,-0.3516566635812262,2.5814321777479585,8,2,0,2,10,0.0966796875,0.0546875
