model,symbol,n_windows,n_trades,trade_rate,sharpe,hit_rate
bilstm_fusion,BTCUSDT,1882,521,0.27683315621679067,-2.8512936552353367,0.472168905950096
bilstm_fusion,ETHUSDT,1114,370,0.33213644524236985,-1.1300385379502051,0.5
bilstm_fusion,SOLUSDT,490,175,0.35714285714285715,-1.9985452991685786,0.4514285714285714
cgcma,BTCUSDT,1882,300,0.1594048884165781,1.0314350416747635,0.5533333333333333
cgcma,ETHUSDT,1114,202,0.1813285457809695,1.57304738686322,0.6237623762376238
cgcma,SOLUSDT,490,106,0.2163265306122449,3.1899904939724797,0.6226415094339622
dlinear,BTCUSDT,1882,475,0.25239107332624866,-1.8954511115478148,0.47578947368421054
dlinear,ETHUSDT,1114,285,0.25583482944344704,-1.3291937249730859,0.4421052631578947
dlinear,SOLUSDT,490,127,0.25918367346938775,-0.1516108189706194,0.49606299212598426
early_fusion,BTCUSDT,1882,493,0.26195536663124336,-2.469441645592217,0.45233265720081134
early_fusion,ETHUSDT,1114,319,0.2863554757630162,-0.49382560116045165,0.5266457680250783
early_fusion,SOLUSDT,490,133,0.2714285714285714,0.8620197262195946,0.5639097744360902
itransformer_lite,BTCUSDT,1882,1169,0.6211477151965994,-3.492676714527556,0.43969204448246363
itransformer_lite,ETHUSDT,1114,686,0.6157989228007181,-1.5336628973005406,0.42857142857142855
itransformer_lite,SOLUSDT,490,292,0.5959183673469388,-1.2991025441593917,0.4280821917808219
multimodal_transformer,BTCUSDT,1882,481,0.2555791710945802,-3.2372315375027227,0.44282744282744285
multimodal_transformer,ETHUSDT,1114,336,0.3016157989228007,-0.6321572988308647,0.5148809523809523
multimodal_transformer,SOLUSDT,490,164,0.3346938775510204,0.9902782754426002,0.5487804878048781
patchtst,BTCUSDT,1882,580,0.30818278427205104,-3.9087814143755204,0.4413793103448276
patchtst,ETHUSDT,1114,297,0.2666068222621185,-2.2970817569016577,0.46464646464646464
patchtst,SOLUSDT,490,143,0.29183673469387755,0.4764794179734343,0.4825174825174825
price_only,BTCUSDT,1882,556,0.29543039319872477,-1.9574764918606724,0.4784172661870504
price_only,ETHUSDT,1114,371,0.33303411131059246,-2.569393710901589,0.4636118598382749
price_only,SOLUSDT,490,162,0.3306122448979592,3.357817318789584,0.5370370370370371
price_web,BTCUSDT,1882,454,0.2412327311370882,-1.8915310368402194,0.44052863436123346
price_web,ETHUSDT,1114,247,0.22172351885098743,-0.3693284114023345,0.5425101214574899
price_web,SOLUSDT,490,137,0.2795918367346939,0.9931694262130463,0.5255474452554745
tensor_fusion,BTCUSDT,1882,580,0.30818278427205104,-3.717908085344829,0.4241379310344828
tensor_fusion,ETHUSDT,1114,402,0.3608617594254937,-1.3372533047336175,0.472636815920398
tensor_fusion,SOLUSDT,490,220,0.4489795918367347,-0.027764471773914494,0.4409090909090909
text_web_mlp,BTCUSDT,1882,254,0.13496280552603612,-3.079680738992679,0.4015748031496063
text_web_mlp,ETHUSDT,1114,245,0.2199281867145422,0.08182062082301832,0.5020408163265306
text_web_mlp,SOLUSDT,490,118,0.24081632653061225,-1.179129676560752,0.4576271186440678
timesnet_lite,BTCUSDT,1882,748,0.39744952178533477,-0.27367491655946685,0.5040106951871658
timesnet_lite,ETHUSDT,1114,452,0.40574506283662476,0.6425326184549125,0.5243362831858407
timesnet_lite,SOLUSDT,490,180,0.3673469387755102,1.710761049601829,0.49444444444444446
