model,return_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
bilstm_fusion,sideways,758,205,0.2704485488126649,-4.59701688574198,0.3804878048780488
bilstm_fusion,up,2728,861,0.3156158357771261,-2.2416940760063118,0.5017421602787456
cgcma,sideways,758,23,0.030343007915567283,-3.164265807244444,0.21739130434782608
cgcma,up,2728,585,0.21444281524926687,3.4978126754897025,0.6034188034188034
dlinear,sideways,758,120,0.158311345646438,-1.2774739374229256,0.45
dlinear,up,2728,767,0.28115835777126097,-1.8755176798512267,0.4706649282920469
early_fusion,sideways,758,11,0.014511873350923483,-1.2754819666103943,0.36363636363636365
early_fusion,up,2728,934,0.34237536656891493,-1.1657016184761106,0.49464668094218417
itransformer_lite,sideways,758,494,0.6517150395778364,-3.0478782617742315,0.3967611336032389
itransformer_lite,up,2728,1653,0.6059384164222874,-2.8392665776934805,0.4458560193587417
multimodal_transformer,sideways,758,8,0.010554089709762533,-2.224260171105067,0.0
multimodal_transformer,up,2728,973,0.35667155425219943,-1.5603852748341078,0.4892086330935252
patchtst,sideways,758,14,0.018469656992084433,0.8173222415687688,0.6428571428571429
patchtst,up,2728,1006,0.3687683284457478,-3.7430955407677775,0.45129224652087474
price_only,sideways,758,394,0.5197889182058048,-4.880313380405701,0.39847715736040606
price_only,up,2728,695,0.25476539589442815,0.5814213456188079,0.5294964028776978
price_web,sideways,758,10,0.013192612137203167,-1.0019025557476133,0.4
price_web,up,2728,828,0.3035190615835777,-0.8786303274311733,0.4855072463768116
tensor_fusion,sideways,758,514,0.6781002638522428,-3.187398257453463,0.4066147859922179
tensor_fusion,up,2728,688,0.25219941348973607,-1.4481412021823807,0.47093023255813954
text_web_mlp,sideways,758,186,0.24538258575197888,-3.077926361296169,0.3870967741935484
text_web_mlp,up,2728,431,0.15799120234604105,-1.0511981851816539,0.4802784222737819
timesnet_lite,sideways,758,288,0.37994722955145116,-2.743902227999879,0.4479166666666667
timesnet_lite,up,2728,1092,0.4002932551319648,1.7082545967442604,0.5256410256410257
