model,vol_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
bilstm_fusion,high_vol,1366,405,0.2964860907759883,-0.15219304808751796,0.5358024691358024
bilstm_fusion,low_vol,1374,347,0.25254730713246,-2.252799870812731,0.45821325648414984
bilstm_fusion,mid_vol,746,314,0.42091152815013405,-4.36612911848287,0.4267515923566879
cgcma,high_vol,1366,340,0.24890190336749635,1.166225530538505,0.5529411764705883
cgcma,low_vol,1374,204,0.14847161572052403,3.5930534279512116,0.6176470588235294
cgcma,mid_vol,746,64,0.08579088471849866,2.857644016365816,0.6875
dlinear,high_vol,1366,440,0.32210834553440704,-0.9495720249896368,0.4636363636363636
dlinear,low_vol,1374,284,0.2066957787481805,-1.9889483021943186,0.4612676056338028
dlinear,mid_vol,746,163,0.21849865951742628,-1.3504472456889998,0.49079754601226994
early_fusion,high_vol,1366,289,0.21156661786237188,0.9467063370008706,0.5121107266435986
early_fusion,low_vol,1374,297,0.21615720524017468,0.07683099885393045,0.468013468013468
early_fusion,mid_vol,746,359,0.4812332439678284,-3.155931892107668,0.4986072423398329
itransformer_lite,high_vol,1366,898,0.657393850658858,-1.133675253676856,0.4710467706013363
itransformer_lite,low_vol,1374,892,0.6491994177583698,-4.776644998323222,0.3991031390134529
itransformer_lite,mid_vol,746,357,0.4785522788203753,-1.8070859952393783,0.43137254901960786
multimodal_transformer,high_vol,1366,623,0.4560761346998536,-1.4417622352763888,0.49759229534510435
multimodal_transformer,low_vol,1374,155,0.11280931586608442,-2.6297023133247626,0.3548387096774194
multimodal_transformer,mid_vol,746,203,0.27211796246648795,0.5187863590180929,0.5467980295566502
patchtst,high_vol,1366,607,0.4443631039531479,-2.5021109221787365,0.47611202635914335
patchtst,low_vol,1374,264,0.19213973799126638,-1.1596131492003254,0.42045454545454547
patchtst,mid_vol,746,149,0.19973190348525469,-3.0806466739061413,0.4228187919463087
price_only,high_vol,1366,518,0.37920937042459735,0.3699980541331443,0.5444015444015444
price_only,low_vol,1374,453,0.3296943231441048,-3.573787649817824,0.41501103752759383
price_only,mid_vol,746,118,0.1581769436997319,-0.47576154259750936,0.4661016949152542
price_web,high_vol,1366,342,0.25036603221083453,1.758955790731475,0.5614035087719298
price_web,low_vol,1374,280,0.20378457059679767,0.30116331508671745,0.4642857142857143
price_web,mid_vol,746,216,0.289544235924933,-3.9298220539606854,0.3888888888888889
tensor_fusion,high_vol,1366,309,0.22620790629575402,1.2751793851363686,0.511326860841424
tensor_fusion,low_vol,1374,673,0.4898107714701601,-3.8412317171844377,0.40713224368499257
tensor_fusion,mid_vol,746,220,0.2949061662198391,-3.1278918494199117,0.4590909090909091
text_web_mlp,high_vol,1366,249,0.1822840409956076,-1.4269588918012077,0.4738955823293173
text_web_mlp,low_vol,1374,308,0.22416302765647744,-3.7851503794151076,0.38636363636363635
text_web_mlp,mid_vol,746,60,0.08042895442359249,2.5251638167946906,0.7
timesnet_lite,high_vol,1366,649,0.4751098096632504,3.155788883198535,0.551617873651772
timesnet_lite,low_vol,1374,445,0.32387190684133915,-0.7714744449614257,0.4853932584269663
timesnet_lite,mid_vol,746,286,0.38337801608579086,-3.0976357411502073,0.45104895104895104
