model,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auc_mean,auc_std,auc_count,brier_mean,brier_std,brier_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_mdd_count,downstream_total_return_mean,downstream_total_return_std,downstream_total_return_count,cost_bps_mean,cost_bps_std,cost_bps_count,long_threshold_mean,long_threshold_std,long_threshold_count,short_threshold_mean,short_threshold_std,short_threshold_count
bilstm_fusion,0.4436363636363636,,1,0.4417466066950603,,1,0.4623363693847623,,1,0.2698811695817809,,1,0.7468879668049793,,1,0.4055555555555555,,1,-4.341882716342964,,1,0.2534161938062145,,1,-0.2634729715972246,,1,5.0,,1,0.52,,1,0.4099999999999998,,1
cgcma,0.4345454545454545,,1,0.4105362552079923,,1,0.473166597155888,,1,0.2660437312456495,,1,0.1286307053941908,,1,0.4838709677419355,,1,0.6558801940605152,,1,0.0294579672494642,,1,0.0134323664052362,,1,5.0,,1,0.6700000000000002,,1,0.3799999999999999,,1
dlinear,0.5345454545454545,,1,0.5325427285162216,,1,0.5643826770170458,,1,0.2490416027302633,,1,0.4522821576763485,,1,0.4403669724770642,,1,-2.6743459819556215,,1,0.1254245023419125,,1,-0.1141802972330127,,1,5.0,,1,0.52,,1,0.29,,1
early_fusion,0.4327272727272727,,1,0.4319761668321747,,1,0.4631704987286254,,1,0.2644190401371564,,1,0.1203319502074688,,1,0.6206896551724138,,1,2.0607056282830705,,1,0.0095562881247858,,1,0.0436282689034504,,1,5.0,,1,0.7000000000000002,,1,0.3799999999999999,,1
itransformer_lite,0.4690909090909091,,1,0.4686412302642898,,1,0.5335737060904896,,1,0.3163372344541608,,1,0.6141078838174274,,1,0.4594594594594595,,1,-1.7828591263956328,,1,0.1322088584533351,,1,-0.1014788771800452,,1,5.0,,1,0.6700000000000002,,1,0.29,,1
patchtst,0.5127272727272727,,1,0.5124113475177305,,1,0.49527102476826,,1,0.2715890903004836,,1,0.4356846473029045,,1,0.4095238095238095,,1,-1.8905360343328328,,1,0.1079890124941926,,1,-0.0917119433932642,,1,5.0,,1,0.6100000000000001,,1,0.29,,1
price_only,0.4472727272727272,,1,0.4123931623931623,,1,0.4428957741931144,,1,0.2559888074755838,,1,0.0705394190871369,,1,0.3529411764705882,,1,-0.1858030538073289,,1,0.0263415384317484,,1,-0.0035319707223556,,1,5.0,,1,0.5800000000000001,,1,0.4099999999999998,,1
price_web,0.4618181818181818,,1,0.3923196368848543,,1,0.4285137698610233,,1,0.2655497443694126,,1,0.6970954356846473,,1,0.3571428571428571,,1,-5.84054196983596,,1,0.2886654116374044,,1,-0.3371116253567625,,1,5.0,,1,0.55,,1,0.29,,1
text_web_mlp,0.5036363636363637,,1,0.5035953384577239,,1,0.5074264419002005,,1,0.2511966277563227,,1,0.2572614107883817,,1,0.5,,1,-1.8191234257652655,,1,0.0739650654752962,,1,-0.0609884884042274,,1,5.0,,1,0.52,,1,0.29,,1
timesnet_lite,0.4527272727272727,,1,0.4366192390020792,,1,0.4734356711377793,,1,0.2841395474106111,,1,0.1203319502074688,,1,0.5517241379310345,,1,1.499373729506999,,1,0.0151744623710542,,1,0.0315332693840583,,1,5.0,,1,0.7000000000000002,,1,0.4699999999999998,,1
