model,policy,auc_mean,auc_std,brier_mean,brier_std,trade_rate_mean,trade_rate_std,hit_rate_mean,hit_rate_std,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_total_return_mean,downstream_total_return_std,long_threshold_mean,long_threshold_std,short_threshold_mean,short_threshold_std
cgcma,fine_sharpe_mdd_min02,0.5708428937319885,0.07957906909050778,0.25385951117453376,0.010566840550500866,0.10949137909741853,0.12328371245984243,0.533932793541932,0.19852560727463456,0.4744708459469482,1.6002010184278,10,0.026618174443933922,0.03157392672906592,0.019111000068206666,0.03051577989244515,0.593,0.08844960900610775,0.41100000000000003,0.08875058685251982
cgcma,fine_sharpe_min02,0.5708428937319885,0.07957906909050778,0.25385951117453376,0.010566840550500866,0.10949137909741853,0.12328371245984243,0.533932793541932,0.19852560727463456,0.4744708459469482,1.6002010184278,10,0.026618174443933922,0.03157392672906592,0.019111000068206666,0.03051577989244515,0.593,0.08844960900610775,0.41100000000000003,0.08875058685251982
cgcma,fine_sharpe_mdd_min05,0.5708428937319885,0.07957906909050778,0.25385951117453376,0.010566840550500866,0.14602859289834044,0.11796423471439903,0.5238171486610038,0.194715228686784,0.46584080877305334,1.6783219886267682,10,0.040467968356194865,0.033585081078005966,0.027562354113699606,0.044075648192450446,0.5900000000000001,0.08944271909999159,0.41600000000000004,0.0903327183250897
cgcma,fine_return_sharpe_min02,0.5708428937319885,0.07957906909050778,0.25385951117453376,0.010566840550500866,0.1482507961747172,0.1372049477983053,0.5285039835068228,0.21361334496428863,0.43922527290431984,1.6879599149978506,10,0.04207108664843778,0.0465176998794974,0.01810957624810268,0.03743326365270909,0.591,0.08924996109554086,0.41500000000000004,0.09021579068482904
cgcma,selective_sharpe_min01,0.5708428937319885,0.07957906909050778,0.25385951117453376,0.010566840550500866,0.10922328258267325,0.12352503893150944,0.5255994602085987,0.19001478001505195,0.4161725449759392,1.6016733513942105,10,0.026618174443933922,0.03157392672906592,0.018675539671639756,0.03076914212594676,0.595,0.08809716857601674,0.41100000000000003,0.08875058685251982
price_web,fine_sharpe_min02,0.5605326808740811,0.07455933093240832,0.2557040774026111,0.01247994889283528,0.2839630978009028,0.20714628677105607,0.4375517868690242,0.16752868805298515,-0.13555191743696712,1.4587441687561644,10,0.0629942663846383,0.05179953172464324,-0.005209692495591156,0.08963269965864681,0.568,0.05006662228138289,0.382,0.11023207841237098
price_web,fine_sharpe_mdd_min02,0.5605326808740811,0.07455933093240832,0.2557040774026111,0.01247994889283528,0.2839630978009028,0.20714628677105607,0.4375517868690242,0.16752868805298515,-0.13555191743696712,1.4587441687561644,10,0.0629942663846383,0.05179953172464324,-0.005209692495591156,0.08963269965864681,0.568,0.05006662228138289,0.382,0.11023207841237098
price_web,selective_sharpe_min01,0.5605326808740811,0.07455933093240832,0.2557040774026111,0.01247994889283528,0.2839630978009028,0.20714628677105607,0.4375517868690242,0.16752868805298515,-0.13555191743696712,1.4587441687561644,10,0.0629942663846383,0.05179953172464324,-0.005209692495591156,0.08963269965864681,0.568,0.05006662228138289,0.382,0.11023207841237098
price_web,fine_return_sharpe_min02,0.5605326808740811,0.07455933093240832,0.2557040774026111,0.01247994889283528,0.33810951004787365,0.2667232063598094,0.4369493682677629,0.16754617200482308,-0.1611059074606005,1.3838611118881428,10,0.06799636384051089,0.0524444149993985,-0.0007896184226102776,0.094576363369835,0.567,0.051001089312985366,0.41600000000000004,0.09252026804976303
timesnet_lite,fine_return_sharpe_min02,0.5913425917871185,0.06635533301725956,0.2524055929927228,0.008972107272596822,0.4322047445643247,0.26562755970581087,0.4806239179082126,0.07290256636998625,-0.19444084104335602,2.497289716026342,10,0.09952824623039178,0.09389895655440113,0.025533647644222706,0.22793983327092912,0.612,0.10685400216078846,0.4109999999999999,0.1081614020290459
