model,symbol,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_anchor,BTCUSDT,941,339,0.3602550478214665,-1.76045767278009,0.4690265486725664
cgcma_anchor,ETHUSDT,557,234,0.42010771992818674,-0.519002063303392,0.5128205128205128
cgcma_anchor,SOLUSDT,245,120,0.4897959183673469,2.5048730803248334,0.575
cgcma_return_weighted,BTCUSDT,941,112,0.11902231668437832,-1.7049010067906132,0.4375
cgcma_return_weighted,ETHUSDT,557,78,0.1400359066427289,-0.5769536799523266,0.5128205128205128
cgcma_return_weighted,SOLUSDT,245,48,0.19591836734693877,0.04730194862645593,0.5625
cgcma_utility_mean,BTCUSDT,941,220,0.23379383634431455,0.5140319675619387,0.5136363636363637
cgcma_utility_mean,ETHUSDT,557,168,0.3016157989228007,-1.375822520254564,0.5119047619047619
cgcma_utility_mean,SOLUSDT,245,70,0.2857142857142857,-0.2601589446846553,0.5
cgcma_utility_sharpe,BTCUSDT,941,251,0.2667375132837407,-2.1736495222871772,0.4581673306772908
cgcma_utility_sharpe,ETHUSDT,557,212,0.38061041292639136,-1.8165205283827128,0.47641509433962265
cgcma_utility_sharpe,SOLUSDT,245,103,0.4204081632653061,-0.2326763141720124,0.46601941747572817
price_only_anchor,BTCUSDT,941,323,0.3432518597236982,-2.4873900478554076,0.4613003095975232
price_only_anchor,ETHUSDT,557,199,0.35727109515260325,-1.358816318091595,0.4824120603015075
price_only_anchor,SOLUSDT,245,97,0.39591836734693875,3.040714892391505,0.5567010309278351
timesnet_cgcma_utility_mean,BTCUSDT,941,250,0.26567481402763016,-2.5867211674251425,0.436
timesnet_cgcma_utility_mean,ETHUSDT,557,227,0.40754039497307004,-0.6881283406329152,0.5242290748898678
timesnet_cgcma_utility_mean,SOLUSDT,245,83,0.33877551020408164,0.07166960621714509,0.5421686746987951
timesnet_cgcma_utility_sharpe,BTCUSDT,941,251,0.2667375132837407,-3.771354160904125,0.4063745019920319
timesnet_cgcma_utility_sharpe,ETHUSDT,557,191,0.34290843806104127,-2.081816521984122,0.4869109947643979
timesnet_cgcma_utility_sharpe,SOLUSDT,245,53,0.2163265306122449,0.20967046209759133,0.5283018867924528
timesnet_lite_anchor,BTCUSDT,941,326,0.34643995749202977,-0.6037162220833218,0.4785276073619632
timesnet_lite_anchor,ETHUSDT,557,214,0.38420107719928187,0.20471549411668585,0.5046728971962616
timesnet_lite_anchor,SOLUSDT,245,89,0.363265306122449,2.4714332399248367,0.5730337078651685
