model,vol_regime,n_windows,n_trades,trade_rate,sharpe,hit_rate
cgcma_anchor,high_vol,683,245,0.35871156661786235,1.8033338327759152,0.5755102040816327
cgcma_anchor,low_vol,687,296,0.43085880640465796,-1.7433492262886467,0.4358108108108108
cgcma_anchor,mid_vol,373,152,0.4075067024128686,-1.004537359036909,0.5131578947368421
cgcma_return_weighted,high_vol,683,53,0.07759882869692533,-1.048017486804205,0.4528301886792453
cgcma_return_weighted,low_vol,687,78,0.11353711790393013,1.199825083273374,0.5128205128205128
cgcma_return_weighted,mid_vol,373,107,0.2868632707774799,-1.536750961023491,0.48598130841121495
cgcma_utility_mean,high_vol,683,180,0.2635431918008785,-0.4647467469039237,0.5833333333333334
cgcma_utility_mean,low_vol,687,147,0.21397379912663755,-0.0981987505549086,0.4557823129251701
cgcma_utility_mean,mid_vol,373,131,0.3512064343163539,-1.1463317524697285,0.4732824427480916
cgcma_utility_sharpe,high_vol,683,222,0.32503660322108346,0.18847836617647684,0.5225225225225225
cgcma_utility_sharpe,low_vol,687,198,0.28820960698689957,-3.095548027012644,0.4393939393939394
cgcma_utility_sharpe,mid_vol,373,146,0.3914209115281501,-2.9402348052399985,0.4178082191780822
price_only_anchor,high_vol,683,237,0.34699853587115664,0.6588639674287932,0.5569620253164557
price_only_anchor,low_vol,687,296,0.43085880640465796,-2.0247431530448834,0.43243243243243246
price_only_anchor,mid_vol,373,86,0.23056300268096513,-0.8321416940210615,0.45348837209302323
timesnet_cgcma_utility_mean,high_vol,683,361,0.5285505124450952,-1.5664253720117238,0.48753462603878117
timesnet_cgcma_utility_mean,low_vol,687,62,0.09024745269286755,-1.9171046221854724,0.3870967741935484
timesnet_cgcma_utility_mean,mid_vol,373,137,0.3672922252010724,0.5389714230685267,0.5328467153284672
timesnet_cgcma_utility_sharpe,high_vol,683,166,0.2430453879941435,-3.0270212037609987,0.42771084337349397
timesnet_cgcma_utility_sharpe,low_vol,687,190,0.2765647743813683,-2.2609599946490913,0.4105263157894737
timesnet_cgcma_utility_sharpe,mid_vol,373,139,0.3726541554959786,0.6151711460043423,0.5323741007194245
timesnet_lite_anchor,high_vol,683,244,0.35724743777452417,1.4081680377627925,0.5450819672131147
timesnet_lite_anchor,low_vol,687,304,0.44250363901018924,-0.9161202148845238,0.4605263157894737
timesnet_lite_anchor,mid_vol,373,81,0.21715817694369974,0.673085515966135,0.5185185185185185
